SECURITY_ID,SYMBOL
500645,BSE:DEEPAKFERT-A
500650,BSE:EXCELINDUS-B
500660,BSE:GLAXO-A
500670,BSE:GNFC-A
500672,BSE:NOVARTIND-B
500674,BSE:SANOFI-A
500676,GLAXOSMITHKL
500680,BSE:PFIZER-A
500690,BSE:GSFC-A
500696,BSE:HINDUNILVR-A
500710,BSE:AKZOINDIA-A
500730,BSE:NOCIL-B
500770,BSE:TATACHEM-A
500777,BSE:TNPETRO-B
500780,BSE:ZUARIIND-B
500790,BSE:NESTLEIND-A
500800,BSE:TATACONSUM-A
500820,BSE:ASIANPAINT-A
500825,BSE:BRITANNIA-A
500830,BSE:COLPAL-A
500840,BSE:EIHOTEL-A
500850,BSE:INDHOTEL-A
500870,BSE:CASTROLIND-A
500875,BSE:ITC-A
500877,BSE:APOLLOTYRE-A
500878,BSE:CEATLTD-A
500940,BSE:FINPIPE-A
500945,VALUE IND L 
501242,BSE:TCIFINANCE-T
501301,BSE:TATAINVEST-A
501425,BSE:BBTC-A
501455,BSE:GREAVESCOT-A
501848,BSE:GLOBOFFS-X
502090,BSE:SAGCEM-B
502137,BSE:DECCANCE-B
502157,BSE:MANGLMCEM-B
502165,OCL INDIA L 
502168,BSE:NCLIND-B
502330,BSE:ANDHRAPAP-B
502355,BSE:BALKRISIND-A
502420,BSE:ORIENTPPR-B
502450,BSE:SESHAPAPER-B
502742,SINTEX IND. 
502761,BLUE BLEND  
502820,BSE:DCM-B
502865,BSE:FORBESCO-X
502937,BSE:KESORAMIND-T
502986,BSE:VTL-A
503031,BSE:PENINLAND-B
503100,BSE:PHOENIXLTD-A
503101,BSE:MARATHON-B
503169,BSE:RUBYMILLS-B
503310,BSE:SWANCORP-A
503722,BSE:BANSWRAS-B
503806,BSE:SRF-A
503811,BSE:SIYSIL-B
503881,HIND.SYNTEX 
503960,BSE:BBL-A
504008,EMCO LTD.   
504036,BSE:HIRECT-B
504058,BSE:NIPPOBATRY-B
504067,BSE:ZENSARTECH-A
504112,BSE:NELCO-B
504212,BSE:UNIVCABLES-B
504220,BSE:WSI-B
504286,BSE:DELTAMAGNT-B
504614,BSE:SARDAEN-A
504741,BSE:INDIANHUME-B
504879,BSE:ORIENTCER-B
504966,TINPLATE    
504973,BSE:CHOLAHLDNG-A
505010,BSE:AUTOAXLES-B
505075,BSE:SETCO-B
505160,BSE:TALBROAUTO-B
505163,BSE:ZFSTEERING-B
505192,BSE:SMLMAH-B
505196,BSE:TIL-B
505200,BSE:EICHERMOT-A
505242,BSE:DYNAMATECH-B
505324,BSE:MANUGRAPH-B
505355,BSE:NESCO-B
505368,BSE:SEMAC-B
505400,BSE:TEXINFRA-B
505412,BSE:WENDT-B
505509,BSE:RESPONIND-B
505533,BSE:WESTLIFE-A
505537,BSE:ZEEL-A
505688,BSE:BHARATGEAR-B
505700,BSE:ELECON-A
505714,BSE:GABRIEL-A
505720,BSE:HERCULES-B
505726,BSE:IFBIND-B
505744,BSE:FMGOETZE-B
505790,BSE:SCHAEFFLER-A
505800,BSE:RANEHOLDIN-B
505854,BSE:TRF-B
505890,BSE:KENNAMET-B
505982,HINDUJA FOUN
506022,BSE:PRAKASH-B
506076,BSE:GRINDWELL-A
506079,BSE:LAKPRE-Z
506109,BSE:GENESYS-B
506146,BSE:VIVIDHA-B
506184,BSE:KANANIIND-B
506194,BSE:ARIHANTSUP-B
506197,BSE:BLISSGVS-B
506222,BSE:STYRENIX-A
506235,BSE:ALEMBICLTD-B
506285,BSE:BAYERCROP-A
506390,BSE:SUDARCOLOR-B
506395,BSE:COROMANDEL-A
506401,BSE:DEEPAKNTR-A
506480,BSE:GOCLCORP-B
506525,BSE:KANORICHEM-B
506579,BSE:AGVENTURES-B
506590,BSE:PCBL-A
506618,BSE:PUNJABCHEM-B
506655,BSE:SUDARSCHEM-A
506690,BSE:UNICHEMLAB-B
506720,ZANDUREALTY 
506767,BSE:ALKYLAMINE-A
506820,BSE:ASTRAZEN-A
506894,CHEMFAB ALK 
506943,BSE:JBCHEPHARM-A
507180,BSE:KESARENT-X
507205,BSE:TI-A
507315,BSE:SAKHTISUG-B
507410,BSE:WALCHANNAG-B
507438,BSE:IFBAGRO-B
507442,DHARANI SUG 
507450,THIRU A.SUG.
507458,UNITED BREWE
507488,BSE:GMBREW-B
507490,BSE:RANASUG-B
507514,BSE:SDBL-B
507580,BSE:IVP-B
507685,BSE:WIPRO-A
507717,BSE:DHANUKA-B
507747,BSE:TTKHLTCARE-B
507785,BSE:TAINWALCHM-B
507789,BSE:JAGSNPHARM-B
507815,BSE:GILLETTE-A
507828,BSE:ANSALHSG-X
507878,BSE:UNITECH-B
507880,BSE:VIPIND-A
508486,BSE:HAWKINCOOK-B
508814,BSE:COSMOFIRST-B
508869,BSE:APOLLOHOSP-A
508906,BSE:EVERESTIND-B
508933,BSE:AYMSYNTEX-B
508989,BSE:NAVNETEDUL-B
509009,BSE:AUSOMENT-T
509055,BSE:VISAKAIND-B
509077,PRESSMN     
509079,BSE:GUFICBIO-B
509152,BSE:GRPLTD-B
509243,BSE:TVSSRICHAK-B
